barretm82_upgraded_zm,vzoom,,,,
judge_upgraded_zm,dualclip,,,,
kard_upgraded_zm,none,,,,
fiveseven_upgraded_zm,none,,,,
beretta93r_upgraded_zm,none,,,,
qcw05_upgraded_zm,sf,,,,
870mcs_upgraded_zm,none,,,,
saiga12_upgraded_zm,none,,,,
srm1216_upgraded_zm,none,,,,
saritch_upgraded_zm,dualoptic,,,,
xm8_upgraded_zm,reflex,,,,
type95_upgraded_zm,mms,,,,
tar21_upgraded_zm,longbreath,,,,
hamr_upgraded_zm,grip,,,,
dsr50_upgraded_zm,vzoom,,,,
hk416_upgraded_zm,reflex,,,,
lsat_upgraded_zm,rangefinder,,,,
an94_upgraded_zm,reflex,,,,
pdw57_upgraded_zm,none,,,,
svu_upgraded_zm,vzoom,,,,
ballista_upgraded_zm,acog,,,,
ksg_upgraded_zm,reflex,,,,
evoskorpion_upgraded_zm,dualclip,,,,
scar_upgraded_zm,acog,,,,
beretta93r_extclip_upgraded_zm,none,,,,
insas_upgraded_zm,none,,,,
vector_upgraded_zm,steadyaim,,,,
vector_extclip_upgraded_zm,steadyaim,,,,
mp7_upgraded_zm,dualclip,,,,
peacekeeper_upgraded_zm,grip+reflex,,,,
sig556_upgraded_zm,gl,,,,
sa58_upgraded_zm,sf,,,,
mk48_upgraded_zm,none,,,,
as50_upgraded_zm,vzoom,,,,